rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,uptime,ros_control_loop_freq,mcu_and_user_port_current,left_driver_current,right_driver_current,battery_voltage,left_driver_voltage,right_driver_voltage,left_driver_temp,right_driver_temp,left_motor_temp,right_motor_temp,capacity_estimate,charge_estimate,timeout,lockout,e_stop,ros_pause,no_battery,current_limit
1560953435141111204,,1241,,1560953257,7404191,'',1270995,9.92327551606,2.38,0.63,0.59,28.19,25.78,25.63,31.56,27.69,23.24,23.24,480,1.0,False,False,False,False,False,False
1560953436133547306,,1242,,1560953257,997495040,'',1271985,9.49463188705,2.22,1.32,0.89,28.1,25.68,25.69,31.51,27.83,23.11,23.11,480,1.0,False,False,False,False,False,False
1560953437120867742,,1243,,1560953258,987160141,'',1272986,9.91096691007,2.82,0.0,4.37,28.1,25.59,25.46,31.51,28.02,23.24,22.99,480,1.0,False,False,False,False,False,False
1560953438132446561,,1244,,1560953259,998754756,'',1273987,9.91293498938,2.24,0.0,7.69,27.97,25.6,25.5,31.8,27.92,23.24,23.24,480,1.0,False,False,False,False,False,False
1560953439122977669,,1245,,1560953260,989302941,'',1274988,9.95538454594,3.06,0.0,6.83,28.0,25.52,25.36,31.71,27.5,23.36,23.24,480,1.0,False,False,False,False,False,False
1560953440134421062,,1246,,1560953262,753602,'',1275989,9.9064882981,2.76,0.0,8.01,28.03,25.65,25.48,31.85,27.59,23.11,22.86,480,1.0,False,False,False,False,False,False
1560953441124387463,,1247,,1560953262,990686145,'',1276990,9.94441707299,2.36,0.0,6.6,28.0,25.59,25.45,31.71,27.69,23.24,23.11,480,1.0,False,False,False,False,False,False
1560953442137334742,,1248,,1560953264,3663309,'',1277991,9.89573115476,2.98,0.0,6.83,28.1,25.6,25.46,31.27,27.59,23.48,23.11,480,1.0,False,False,False,False,False,False
1560953443127475239,,1249,,1560953264,993558630,'',1278992,9.82083294668,2.26,0.0,3.68,28.07,25.67,25.53,31.37,27.92,23.24,23.24,480,1.0,False,False,False,False,False,False
1560953444128249724,,1250,,1560953265,994571589,'',1279993,9.92799562326,2.5,1.74,1.41,28.03,25.62,25.59,31.56,27.78,23.36,23.24,480,1.0,False,False,False,False,False,False
1560953445140425319,,1251,,1560953267,6717373,'',1280994,9.91251747354,2.46,1.64,1.12,28.16,25.64,25.62,31.42,28.02,23.48,23.11,480,1.0,False,False,False,False,False,False
1560953446130069803,,1252,,1560953267,996419751,'',1281995,9.5893934864,2.42,2.17,0.82,27.97,25.6,25.58,31.46,28.26,23.36,23.11,480,1.0,False,False,False,False,False,False
1560953447121096825,,1253,,1560953268,986725040,'',1282985,9.90114871345,2.5,2.07,1.05,28.1,25.59,25.65,31.37,27.69,23.48,23.11,480,1.0,False,False,False,False,False,False
1560953448121339823,,1254,,1560953269,987643462,'',1283986,9.91672735621,2.34,6.64,0.59,27.97,25.55,25.6,31.66,27.83,23.61,23.11,480,1.0,False,False,False,False,False,False
1560953449206912013,,1255,,1560953270,999389810,'',1284987,9.92877030681,2.44,6.57,0.59,27.87,25.44,25.53,31.32,28.02,23.24,23.11,480,1.0,False,False,False,False,False,False
1560953450134264388,,1256,,1560953272,554373,'',1285988,9.97999460182,2.52,7.72,8.24,27.75,25.31,25.25,31.51,27.92,23.48,23.36,480,1.0,False,False,False,False,False,False
1560953451191684839,,1257,,1560953273,796473,'',1286989,9.92687664128,2.26,11.2,3.51,27.81,25.29,25.3,31.37,28.07,23.24,23.36,480,1.0,False,False,False,False,False,False
1560953452136528810,,1258,,1560953274,2842325,'',1287990,9.9447443155,2.3,12.94,1.51,27.81,25.39,25.42,31.61,27.69,23.24,23.36,480,1.0,False,False,False,False,False,False
1560953453137819653,,1259,,1560953275,3388227,'',1288991,9.89010931409,2.7,7.13,0.0,28.0,25.48,25.55,31.8,27.83,23.36,23.36,480,1.0,False,False,False,False,False,False
1560953454129373275,,1260,,1560953275,993404286,'',1289992,9.83744884809,2.64,8.01,0.59,27.94,25.37,25.39,31.37,27.69,23.36,23.36,480,1.0,False,False,False,False,False,False
1560953455128185411,,1261,,1560953276,994543232,'',1290993,9.91204045389,2.44,7.62,1.05,27.84,25.49,25.43,31.56,27.69,23.61,23.24,480,1.0,False,False,False,False,False,False
1560953456129396361,,1262,,1560953277,995695888,'',1291994,9.90699098906,3.0,7.32,3.25,27.87,25.42,25.49,31.66,28.02,23.48,23.24,480,1.0,False,False,False,False,False,False
1560953457141454949,,1263,,1560953279,7687070,'',1292995,9.91843672742,2.08,7.06,0.0,27.84,25.36,25.46,31.71,27.88,23.48,23.48,480,1.0,False,False,False,False,False,False
1560953458120203154,,1264,,1560953279,986494027,'',1293985,9.44427255868,2.56,8.24,0.0,27.87,25.32,25.46,31.85,27.92,23.48,23.11,480,1.0,False,False,False,False,False,False
1560953459131630788,,1265,,1560953280,997957438,'',1294986,9.91579968946,2.12,7.16,0.0,27.81,25.46,25.52,31.56,28.02,23.48,23.48,480,1.0,False,False,False,False,False,False
1560953460133784831,,1266,,1560953281,999874444,'',1295987,9.9200498542,2.16,7.36,0.59,27.87,25.45,25.53,31.66,28.31,23.61,23.48,480,1.0,False,False,False,False,False,False
1560953461123582251,,1267,,1560953282,989875852,'',1296988,9.91058580293,2.56,7.46,0.0,27.84,25.57,25.54,31.75,28.07,23.61,23.24,480,1.0,False,False,False,False,False,False
1560953462124319142,,1268,,1560953283,990622570,'',1297989,9.97830915157,2.42,6.5,0.59,28.07,25.48,25.52,32.14,28.55,23.73,23.48,480,1.0,False,False,False,False,False,False
1560953463136588866,,1269,,1560953285,2908228,'',1298990,9.92157333611,2.54,7.23,0.59,27.94,25.46,25.49,31.75,28.59,23.61,23.24,480,1.0,False,False,False,False,False,False
1560953464138033491,,1270,,1560953286,3950428,'',1299991,9.9329038306,2.56,6.76,0.59,27.81,25.46,25.43,31.37,28.55,23.61,23.61,480,1.0,False,False,False,False,False,False
1560953465128106829,,1271,,1560953286,993952025,'',1300992,9.8001197947,2.6,5.62,0.59,28.03,25.43,25.47,32.04,28.4,23.61,23.48,480,1.0,False,False,False,False,False,False
1560953466128639945,,1272,,1560953287,994940307,'',1301993,9.92213515141,2.14,6.93,0.59,27.84,25.54,25.5,32.04,28.5,23.61,23.36,480,1.0,False,False,False,False,False,False
1560953467128839228,,1273,,1560953288,995018411,'',1302994,9.92368665118,2.18,3.75,8.01,27.81,25.45,25.28,31.71,28.07,23.73,23.48,480,1.0,False,False,False,False,False,False
1560953468130387984,,1274,,1560953289,996708616,'',1303995,9.94155103665,2.28,0.59,8.54,27.75,25.44,25.24,31.75,28.07,23.61,23.48,480,1.0,False,False,False,False,False,False
1560953469132308003,,1275,,1560953290,998060527,'',1304985,9.93211340892,2.3,0.0,8.37,27.78,25.53,25.37,31.9,27.78,23.61,23.36,480,1.0,False,False,False,False,False,False
1560953470121294918,,1276,,1560953291,987611716,'',1305986,9.92064545148,2.78,0.0,7.82,28.07,25.43,25.34,31.9,28.4,23.85,23.36,480,1.0,False,False,False,False,False,False
1560953471123206965,,1277,,1560953292,988899144,'',1306987,9.92231295306,2.62,0.66,8.67,27.94,25.39,25.37,31.51,28.31,23.73,23.48,480,1.0,False,False,False,False,False,False
1560953472123026208,,1278,,1560953293,989185816,'',1307988,9.98184681375,2.1,4.11,8.34,27.68,25.42,25.37,32.14,28.16,23.85,23.61,480,1.0,False,False,False,False,False,False
